time_,Latitude_,Longitude_,Altitude_m__,Speed_km_h__,TotalDistance_km_
2024-04-02 14:15:56,53.355748,-6.280259,84,0.3,0.574
2024-04-02 14:15:57,53.355748,-6.280259,84,0.3,0.574
2024-04-02 14:15:58,53.355748,-6.280259,84,0.3,0.574
2024-04-02 14:15:59,53.355748,-6.280259,84,0.3,0.574
2024-04-02 14:16:00,53.35574,-6.280266,83,3.7,0.575
2024-04-02 14:16:01,53.355729,-6.280281,83,5.6,0.576
2024-04-02 14:16:02,53.355721,-6.280289,82,3.8,0.577
2024-04-02 14:16:03,53.355711,-6.280298,82,4.6,0.579
2024-04-02 14:16:04,53.355703,-6.28031,82,4.3,0.58
2024-04-02 14:16:05,53.355694,-6.280321,81,4.5,0.581
2024-04-02 14:16:06,53.355683,-6.280325,81,4.4,0.582
2024-04-02 14:16:07,53.355671,-6.280325,81,4.6,0.584
2024-04-02 14:16:08,53.355659,-6.280324,81,5,0.585
2024-04-02 14:16:09,53.355651,-6.280333,81,3.8,0.586
2024-04-02 14:16:10,53.355642,-6.280342,81,4.3,0.587
2024-04-02 14:16:11,53.355632,-6.280349,81,4.3,0.589
2024-04-02 14:16:12,53.355622,-6.280357,80,4.2,0.59
2024-04-02 14:16:13,53.355612,-6.28036,80,4,0.591
2024-04-02 14:16:14,53.355603,-6.280366,80,4,0.592
2024-04-02 14:16:15,53.35559,-6.280374,79,5.5,0.593
2024-04-02 14:16:16,53.355578,-6.280374,80,5,0.595
2024-04-02 14:16:17,53.355571,-6.280374,80,2.6,0.596
2024-04-02 14:16:18,53.355575,-6.280377,79,1.7,0.596
2024-04-02 14:17:15,53.355735,-6.280266,83,0,0.621
2024-04-02 14:17:16,53.355735,-6.280266,83,0,0.621
2024-04-02 14:17:17,53.355735,-6.280266,83,0,0.621
2024-04-02 14:17:18,53.355735,-6.280266,83,0,0.621
2024-04-02 14:17:19,53.355735,-6.280266,83,0,0.621
2024-04-02 14:17:20,53.355724,-6.280278,83,5.2,0.623
2024-04-02 14:17:21,53.355718,-6.280284,82,2.9,0.623
2024-04-02 14:17:22,53.355709,-6.280292,82,3.8,0.625
2024-04-02 14:17:23,53.355701,-6.280296,82,3.5,0.626
2024-04-02 14:17:24,53.35569,-6.280304,81,4.5,0.627
2024-04-02 14:17:25,53.355685,-6.280307,81,2.4,0.627
2024-04-02 14:17:26,53.355679,-6.280312,81,2.8,0.628
2024-04-02 14:17:27,53.355667,-6.280314,80,4.5,0.629
2024-04-02 14:17:28,53.35566,-6.280324,80,3.9,0.631
2024-04-02 14:17:29,53.35565,-6.280343,80,5.9,0.632
2024-04-02 14:17:30,53.35564,-6.280357,79,5.2,0.634
2024-04-02 14:17:31,53.35563,-6.280355,79,4.2,0.635
2024-04-02 14:17:32,53.355618,-6.28036,79,4.8,0.636
2024-04-02 14:17:33,53.355607,-6.280365,79,4.6,0.637
2024-04-02 14:17:34,53.355595,-6.280367,80,4.7,0.639
2024-04-02 14:17:35,53.355582,-6.280366,80,5.3,0.64
2024-04-02 14:17:36,53.355568,-6.28037,80,5.7,0.642
2024-04-02 14:17:37,53.355559,-6.280372,80,3.8,0.643
2024-04-02 14:17:38,53.355562,-6.280372,79,1.2,0.643
2024-04-02 14:18:27,53.355746,-6.280269,80,0,0.667
2024-04-02 14:18:28,53.355746,-6.280269,80,0,0.667
2024-04-02 14:18:29,53.355746,-6.280269,80,0,0.667
2024-04-02 14:18:30,53.355746,-6.280269,80,0,0.667
2024-04-02 14:18:31,53.35575,-6.280274,81,2,0.668
2024-04-02 14:18:32,53.355743,-6.280284,81,3.5,0.669
2024-04-02 14:18:33,53.355735,-6.280295,81,4.2,0.67
2024-04-02 14:18:34,53.355726,-6.280298,80,3.6,0.671
2024-04-02 14:18:35,53.355721,-6.280301,81,2.4,0.672
2024-04-02 14:18:36,53.355714,-6.280306,80,2.9,0.672
2024-04-02 14:18:37,53.355702,-6.280314,80,5.4,0.674
2024-04-02 14:18:38,53.355691,-6.280315,80,4.3,0.675
2024-04-02 14:18:39,53.355682,-6.280317,80,3.6,0.676
2024-04-02 14:18:40,53.355677,-6.280316,80,2.1,0.677
2024-04-02 14:18:41,53.355663,-6.280324,80,5.5,0.678
2024-04-02 14:18:42,53.355655,-6.280333,80,3.9,0.679
2024-04-02 14:18:43,53.355644,-6.28033,80,4.8,0.681
2024-04-02 14:18:44,53.355634,-6.280335,80,4.2,0.682
2024-04-02 14:18:45,53.355623,-6.280338,79,4.3,0.683
2024-04-02 14:18:46,53.355614,-6.280341,79,3.7,0.684
2024-04-02 14:18:47,53.355604,-6.280342,79,4,0.685
2024-04-02 14:18:48,53.355597,-6.280349,78,3.3,0.686
2024-04-02 14:18:49,53.355592,-6.280357,78,2.8,0.687
